title,release_year,location,lat,lng,fun_fact,production_company,distributor,director,writer,actor1,actor2,actor3
Gentleman Jim,1942,The Barbary Coast,37.7900504,-122.3906156,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establisments out of business.",Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn,,Katherine Hepburn
The Lady from Shanghai,1947,Golden Gate Park,37.7694208,-122.4862138,"The Playland amusement park wehre ""Hall of Mirrors"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House.",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
Dark Passage,1947,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Rob Schneider
The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.7698646,-122.4660947,"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
Dark Passage,1947,"Filbert Steps, Filbert Street",37.7994987,-122.424127,,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Raven-Symone
Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),37.7749295,-122.4194155,,Warner Bros. Pictures,Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,
The Lady from Shanghai,1947,Fomer Hall of Justice (750 Kearny Street at Washington),37.7749295,-122.4194155,,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),37.796333,-122.407032,The Mandarin Theatre was renamed the Sun Sing Theatre in 1949. It closed 1986.,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),37.8017938,-122.4043215,,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruno Campos
I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Chazz Palminteri
I Remember Mama,1948,Grant Avenue (North Beach),37.7960355,-122.4066844,,RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Chazz Palminteri
I Remember Mama,1948,The Ferry Building,37.795923,-122.392052,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Jennifer Lopez
D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),37.7734008,-122.4418679,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
Woman on the Run,1950,1801 Laguna at Bush,37.7877516,-122.4287783,,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,,
Woman on the Run,1950,Fomer Hall of Justice (750 Kearny Street at Washington),37.7749295,-122.4194155,,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,,
D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),37.7749295,-122.4194155,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Bruno Campos
Woman on the Run,1950,819 Mason Street at Pine,37.791162,-122.41091,,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,,
All About Eve,1950,Curran Theater (445 Geary Street),37.7867729,-122.410581,Called the Shubert Theatre in the film.,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,
D.O.A,1950,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle),37.7914046,-122.4101888,The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),37.7960829,-122.4100212,SF Cable Cars are the only moving National Historical Landmark.,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,,
D.O.A,1950,Powell & California Streets,37.7920705,-122.4091701,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),37.7878481,-122.4088069,"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,
Woman on the Run,1950,835-865 Market Street at 5th Street,37.7840081,-122.408092,"The Emporiaum, a department store, stood in this location. Bloomingdale's is now located here. ",Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,,
D.O.A,1950,Union Square,37.7879938,-122.4074374,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"". ",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
Woman on the Run,1950,772 Commercial Street at Kearney,37.7940098,-122.4058703,"Called ""Man Loh's Oriental Roof Garden"" in the film.",Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,,
D.O.A,1950,Market Street (from 6th- 4th Streets),37.7777318,-122.3957901,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
D.O.A,1950,Market & Steuart Streets (Financial District),37.7944889,-122.3948012,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
D.O.A,1950,The Embarcadero/ Ferry Building,37.795105,-122.393861,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Oliver Platt
The House on Telegraph Hill,1951,Market Street,37.7740121,-122.4206009,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
The House on Telegraph Hill,1951,Coit Tower,37.8023302,-122.4058209,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
The House on Telegraph Hill,1951,Telegraph Hill,37.8013407,-122.4056674,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
The House on Telegraph Hill,1951,1227 Montgomery Street,37.8004649,-122.4045391,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
Sudden Fear,1952,2800 Scott Street,37.795752,-122.439917,,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Artie Lang
Sudden Fear,1952,The Tamalpias Building (1201 Greenwich Street at Hyde),37.7749295,-122.4194155,,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,
Sudden Fear,1952,Lombard Street,37.802139,-122.41874,Lombard Street is not actually the crookedest in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Don Cheadle
Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),37.793087,-122.41047,,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Don Cheadle
The Caine Mutiny,1954,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,
The Caine Mutiny,1954,The Embarcadero,37.7976769,-122.3943387,,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,
It Came From Beneath the Sea,1955,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,,
It Came From Beneath the Sea,1955,Chrissy Field,37.8039069,-122.4640618,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,,Jamie Chung
It Came From Beneath the Sea,1955,Hunters Point,37.7276095,-122.3702611,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,,
Pal Joey,1957,"Spreckles Mansion (2080 Washington Street, Pacific Heights)",37.79292,-122.427475,,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,
Pal Joey,1957,Coit Tower,37.8023302,-122.4058209,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,
Pal Joey,1957,Barbary Coast,37.7900504,-122.3906156,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establisments out of business.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,
The Lineup,1958,Sutro Baths (Point Lobos Avenue),37.7798498,-122.5138482,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
Vertigo,1958,"Fort Point (Presidio, Golden Gate National Recreation Area)",37.8105374,-122.4770634,"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.7698646,-122.4660947,"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
Vertigo,1958,Conservatory of Flowers (Golden Gate Park),37.7726683,-122.4587578,"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,Park Hill Sanatorium (351 Buena Vista Avenue East),37.766883,-122.439604,This location is now a condominium complex.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
The Lineup,1958,2090 Jackson Street,37.793415,-122.429428,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
Vertigo,1958,"Mission Delores (3321 16th Street, Mision District)",37.7643821,-122.4268206,"Mission Delores' official name is Mission San Francisco de Asis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,1007 Gough Street,37.7825466,-122.4241443,Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,Gough & Eddy Streets (Western Addition),37.7824876,-122.4241111,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
The Lineup,1958,War Memorial Opera House (401 Van Ness Avenue),37.7785837,-122.4207164,In 1945 the United Nations had its first conference at The War Memorial Opera House.,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Dennis Quaid
Vertigo,1958,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",37.7749295,-122.4194155,"Built in 1924, the Legion of Honor is a 3/4 replica of the Parisian Palais de la Legion d'Honneur. ",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,Palace of Fine Arts (3301 Lyon Street),37.7749295,-122.4194155,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,900 Lombard Street,37.8024756,-122.4166335,Lombard Street is not actually the crookedest in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,York Hotel (940 Sutter Street),37.788484,-122.4159662,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
The Lineup,1958,Pier 41,37.8090849,-122.4120401,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
Vertigo,1958,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,Brocklebank Apartments (1000 Mason Street),37.793087,-122.41047,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
The Lineup,1958,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",37.7914046,-122.4101888,The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
Vertigo,1958,Claude Lane at Bush Street,37.7907065,-122.4044856,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,Ernie's Restaurant (847 Montgomery Street),37.7969748,-122.4036592,"Called the ""Essex Club"" in the film.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Vertigo,1958,Mission San Juan Bautista (2nd & Mariposa Streets),37.763643,-122.4005248,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
The Lineup,1958,The Embarcadero,37.7976769,-122.3943387,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Dennis Quaid
Vertigo,1958,San Francisco Drydock (20th and Illinois Streets),37.7561141,-122.3871395,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,
Midnight Lace,1960,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Arwin Productions,Universal Pictures,David Miller,Ivan Geoff,Doris Day,Rex Harrison,
Flower Drum Song,1961,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),37.794632,-122.442027,,Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),37.7920733,-122.4134177,Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,
Swingin' Along,1961,Powell Street,37.7960829,-122.4100212,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Charles Barton,Jameson Brewer,Tommy Noonan,Barbara Eden,
Flower Drum Song,1961,Chinatown,37.7941378,-122.4077914,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,
Susan Slade,1961,"On Board the SS President Cleveland, docked at Pier 50",37.773894,-122.3848029,,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves,Troy Donahue,,Rod Taylor
Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),37.7777663,-122.4909162,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,100 St. Germain Avenue,37.757652,-122.450526,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Birdman of Alcatraz,1962,Alcatraz Island,37.8269775,-122.4229555,Alcatraz Island was a military fort before it became a prison.,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Bert Lancaster,Karl Maden,
Experiment in Terror,1962,2632 Larkin Street at Lombard,37.802317,-122.421059,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),37.7749295,-122.4194155,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Sally Field
Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),37.8079996,-122.4177434,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,1 Monthgomery Street at Post,37.7892406,-122.4022438,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)",37.7893521,-122.4017967,"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",37.7934143,-122.3967252,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Birdman of Alcatraz,1962,Pier 43 1/2,37.7974553,-122.3937942,,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Bert Lancaster,Karl Maden,
Experiment in Terror,1962,Candlestick Park,37.7135683,-122.3857794,"Then Vice President Richard Nixon threw out the first pitch when Candlestick openend in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
The Birds,1963,Powell and Geary Streets (Union Square),37.7873923,-122.4082636,"The pet shop featured in the film does not exist, but was based on the now-closed Robison's House of Pets formerly located on Maiden Lane.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Evan Hunter,Tippi Hedren,Suzanne Pleshette,
Marnie,1964,"On Board the SS President Cleveland, docked at Pier 50",37.773894,-122.3848029,,Universal Pictures,Universal Pictures,Alfred Hitchcock,Jay Presson Allen,Tippi Hedren,Sean Connery,Gary Oldman
Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)",37.8105374,-122.4770634,"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,
Guess Who's Coming to Dinner,1967,634 Raycliff Terrace,37.7927793,-122.4427278,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,
Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),37.7393418,-122.423912,This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman
Point Blank,1967,Alcatraz Island,37.8269775,-122.4229555,Alcatraz Island was a military fort before it became a prison.,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,37.7749295,-122.4194155,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman
The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),37.7749295,-122.4194155,,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Hector Elizondo
